Id,Attribute,Definition
157,4-membered,of a chemical compound having a ring with four members
158,4th,coming next after the third and just before the fifth in position or time or degree or magnitude
159,5,being one more than four
160,50,being ten more than forty
161,500,denoting a quantity consisting of 500 items or units
162,500th,the ordinal number of five hundred in counting order
163,50th,the ordinal number of fifty in counting order
164,51,being one more than fifty
165,52,being two more than fifty
166,53,being three more than fifty
167,54,being four more than fifty
168,55,being five more than fifty
169,55th,the ordinal number of fifty-five in counting order
170,56,being six more than fifty
171,57,being seven more than fifty
172,58,being eight more than fifty
173,59,being nine more than fifty
174,5-membered,of a chemical compound having a ring with five members
175,5th,coming next after the fourth and just before the sixth in position
176,6,denoting a quantity consisting of six items or units
177,60,being ten more than fifty
178,60th,the ordinal number of sixty in counting order
179,61,being one more than sixty
180,62,being two more than sixty
181,63,being three more than sixty
182,64,being four more than sixty
183,64th,the ordinal number of sixty-four in counting order
184,65,being five more than sixty
185,65th,the ordinal number of sixty-five in counting order
186,66,being six more than sixty
187,67,being seven more than sixty
188,68,being eight more than sixty
189,69,being nine more than sixty
190,6-membered,of a chemical compound having a ring with six members
191,6th,coming next after the fifth and just before the seventh in position
192,7,being one more than six
193,70,being ten more than sixty
194,70th,the ordinal number of seventy in counting order
195,71,being one more than seventy
196,72,being two more than seventy
197,73,being three more than seventy
198,74,being four more than seventy
199,75,being five more than seventy
200,75th,the ordinal number of seventy-five in counting order
201,76,being six more than seventy
202,77,being seven more than seventy
203,78,being eight more than seventy
204,79,being nine more than seventy
205,7-membered,of a chemical compound having a ring with seven members
206,7th,coming next after the sixth and just before the eighth in position
207,8,being one more than seven
208,80,being ten more than seventy
209,80th,the ordinal number of eighty in counting order
210,81,being one more than eighty
211,82,being two more than eighty
212,83,being three more than eighty
213,84,being four more than eighty
214,85,being five more than eighty
215,85th,the ordinal number of eighty-five in counting order
216,86,being six more than eighty
217,87,being seven more than eighty
218,88,being eight more than eighty
219,89,being nine more than eighty
220,8-membered,of a chemical compound having a ring with eight members
221,8th,coming next after the seventh and just before the ninth in position
222,9,denoting a quantity consisting of one more than eight and one less than ten
223,90,being ten more than eighty
224,90th,the ordinal number of ninety in counting order
225,91,being one more than ninety
226,92,being two more than ninety
227,93,being three more than ninety
228,94,being four more than ninety
229,95,being five more than ninety
230,95th,the ordinal number of ninety-five in counting order
231,96,being six more than ninety
232,97,being seven more than ninety
233,98,being eight more than ninety
234,99,being nine more than ninety
235,9-membered,of a chemical compound having a ring with nine members
236,9th,coming next after the eighth and just before the tenth in position
237,abactinal,(of radiate animals) located on the surface or end opposite to that on which the mouth is situated
238,abandoned,forsaken by owner or inhabitants
239,abashed,feeling or caused to feel uneasy and self-conscious
240,abasic,of or relating to abasia (inability to walk)
241,abatable,capable of being abated
242,abatic,of or relating to abasia (inability to walk)
243,abaxial,facing away from the axis of an organ or organism
244,abbatial,"of or having to do with or belonging to an abbey or abbot, or abbess"
245,abbreviated,cut short in duration
246,abdicable,capable of being discarded or renounced or relinquished
247,abdominal,relating to or near the middle region of the body
248,abdominous,having a large belly
249,abdominovesical,of or relating to the abdomen and the urinary bladder
250,abducent,especially of muscles
251,abducting,especially of muscles
252,abecedarian,"alphabetically arranged, as for beginning readers"
253,Aberdonian,of or relating to Aberdeen
254,aberrant,markedly different from an accepted norm
255,abeyant,inactive but capable of becoming active
256,abhorrent,offensive to the mind
257,abiding,unceasing
258,abient,characterized by avoidance or withdrawal
259,abiogenetic,originating by abiogenesis
260,abiotic,"not involving, containing, or derived from living organisms"
261,abject,of the most contemptible kind
262,Abkhaz,of or relating to Abkazia or its people or their language
263,Abkhazian,of or relating to Abkazia or its people or their language
264,ablated,made smaller or less by melting or erosion or vaporization
265,ablative,relating to the ablative case
266,ablaze,lighted up by or as by fire or flame
267,able,having the necessary means or skill to do something
268,able-bodied,having a strong healthy body
269,abloom,bursting into flower
270,ablutionary,cleansing the body by washing
271,Abnaki,of or relating to the Abnakis or their language
272,abnormal,not typical or usual or regular
273,abolishable,capable of being abolished
274,abolitionary,"relating to or favoring abolition, especially abolition of slavery"
275,abomasal,relating to the abomasum
276,abominable,unequivocally detestable
277,aboral,opposite to or away from the mouth
278,Aboriginal,of or pertaining to members of the indigenous people of Australia
279,aboriginal,having existed from the beginning
280,abortifacient,causing abortion
281,abortive,failing to accomplish an intended result
282,aboulic,suffering from abulia
283,abounding,existing in abundance
284,about,on the move
285,above,appearing earlier in the same text
286,aboveboard,without concealment or deception; honest
287,aboveground,on or above the surface of the ground
288,above-mentioned,mentioned or named earlier in the same text
289,above-named,mentioned or named earlier in the same text
290,abranchial,having no gills
291,abranchiate,having no gills
292,abranchious,having no gills
293,abrasive,causing irritation or erosion by friction
294,abreast,being up to date in knowledge
295,abridged,shortened by condensing or rewriting
296,abroach,of a cask or barrel
297,abroad,in a foreign country
298,abrupt,exceedingly sudden and unexpected
299,abruptly-pinnate,pinnate with a pair of leaflets at the apex
300,abscessed,infected and filled with pus
301,absent,not being in a specified place
302,absentminded,lost in thought; showing preoccupation
303,absolute,perfect or complete or pure
304,absolutist,pertaining to the principle of unrestricted government power
305,absolutistic,pertaining to the principle of totalitarianism
306,absolved,freed from any question of guilt
307,absolvitory,providing absolution
308,absorbable,capable of being absorbed or taken in through the pores of a surface
309,absorbed,retained without reflection
310,absorbefacient,inducing or promoting absorption
311,absorbent,having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)
312,absorbing,capable of arousing and holding the attention
313,absorptive,having the power or tendency to soak up something
314,abstemious,marked by temperance in indulgence
315,abstentious,self-restraining
316,abstinent,self-restraining
317,abstract,existing only in the mind
318,abstracted,lost in thought; showing preoccupation
319,abstractionist,not representing or imitating external reality or the objects of nature
320,abstractive,of an abstracting nature or having the power of abstracting
321,abstruse,difficult to understand
322,absurd,inconsistent with reason or logic or common sense
323,abulic,suffering from abulia
324,abundant,present in great quantity
325,abused,subjected to cruel treatment
326,abusive,characterized by physical or psychological maltreatment
327,abuzz,noisy like the sound of a bee
328,abysmal,exceptionally bad or displeasing
329,abyssal,relating to ocean depths from 2000 to 5000 meters
330,academic,associated with an educational institution
331,acanthoid,shaped like a spine or thorn
332,acanthotic,of or relating to or having acanthosis
333,acanthous,shaped like a spine or thorn
334,acapnial,relating to or demonstrating acapnia
335,acapnic,relating to or demonstrating acapnia
336,acapnotic,relating to or demonstrating acapnia
337,a cappella,sung without instrumental accompaniment
338,acarpellous,having no carpels
339,acarpelous,having no carpels
340,acarpous,producing no fruit
341,acatalectic,metrically complete
342,acaudal,lacking a tail or taillike appendage
343,acaudate,lacking a tail or taillike appendage
344,acaulescent,(of plants) having no apparent stem above ground
345,accelerando,gradually increasing in tempo
346,accelerated,"speeded up, as of an academic course"
347,accelerative,tending to increase velocity
348,acceleratory,tending to increase velocity
349,accented,bearing a stress or accent
350,accentual,of or pertaining to accent or stress
351,acceptable,worthy of approval or satisfactory
352,acceptant,accepting willingly
353,accepted,generally approved or compelling recognition
354,accepting,tolerating without protest
355,acceptive,inclined to accept rather than reject
356,accessary,aiding and abetting in a crime
357,accessible,capable of being reached
358,accessional,of or constituting an accession
359,accessorial,nonessential but helpful
360,accessory,aiding and abetting in a crime
361,accidental,happening by chance or unexpectedly or unintentionally
362,accident-prone,having more than the average number of accidents
363,accipitrine,of or relating to or belonging to the genus Accipiter
364,acclivitous,sloping upward
365,accommodating,obliging; willing to do favors
366,accommodational,of or relating to the accommodation of the lens of the eye
367,accommodative,tending to reconcile or accommodate; bringing into harmony
368,accompanied,having companions or an escort
369,accompanying,"occurring at the same time, along with, or as a consequence"
370,accomplishable,capable of existing or taking place or proving true
371,accomplished,highly skilled
372,accordant,being in agreement or harmony; often followed by `with'
373,according,in agreement with
374,accountable,responsible for one's actions
375,accoutered,provided with necessary articles of equipment for a specialized purpose (especially military)
376,accoutred,provided with necessary articles of equipment for a specialized purpose (especially military)
377,accredited,given official approval to act
378,accretionary,marked or produced by accretion
379,accretive,growing by accretion
380,accrued,periodically accumulated over time
381,acculturational,of or relating to acculturation
382,acculturative,of or relating to acculturation
383,accumbent,lying down; in a position of comfort or rest
384,accumulated,periodically gathered over time
385,accumulative,increasing by successive addition
386,accurate,characterized by perfect conformity to fact or truth
387,accursed,under or as if under an evil spell
388,accurst,under a curse
389,accusative,containing or expressing accusation
390,accusatorial,specifically indicating a form of prosecution in which one is publicly accused of and tried for a crime and in which the judge is not also the prosecutor
391,accusatory,containing or expressing blame
392,accusing,containing or expressing accusation
393,accusive,containing or expressing accusation
394,accustomed,commonly used or practiced; usual
395,ace,of the highest quality
396,acellular,not made up of or divided into cells
397,acentric,not centered or having no center
398,acephalous,lacking a head or a clearly defined head
399,acerate,narrow and long and pointed; as pine leaves
400,acerb,sour or bitter in taste
401,acerbic,sour or bitter in taste
402,acerose,narrow and long and pointed; as pine leaves
403,acervate,pertaining to a growth of fungi that forms a heaped-up mass
404,acetabular,of the cup-shaped socket that receives the head of the thigh bone
405,acetic,relating to a clear organic acid with a pungent odor
406,acetonic,of or relating to acetone
407,acetose,tasting or smelling like vinegar
408,acetous,tasting or smelling like vinegar
409,acetylenic,of or related to acetylene
410,acetylic,of or related to acetic acid
411,Achaean,of or relating to Achaea or its ancient Greek people
412,achenial,pertaining to dry one-seeded indehiscent fruit
413,Acheronian,dark and dismal as of the rivers Acheron and Styx in Hades
414,Acherontic,dark and dismal as of the rivers Acheron and Styx in Hades
415,achievable,capable of existing or taking place or proving true
416,aching,causing a dull and steady pain
417,achlamydeous,not having a floral envelope or perianth
418,achlorhydric,lacking hydrochloric acid
419,achondritic,of or related to an achondrite
420,achondroplastic,of or relating to achondroplasia
421,achromatic,having no hue
422,achromatinic,not readily colored by stains
423,achromatous,having little or inadequate color
424,achromic,having no color
425,achromous,having no color
426,achy,causing a dull and steady pain
427,acicular,narrow and long and pointed; as pine leaves
428,aciculate,related to plants or animals or crystals having aciculae or needlelike parts
429,acid,having a pH of less than 7
430,acid-fast,not easily decolorized by acid solutions
431,acid-forming,yielding an acid in aqueous solution
432,acidic,having a pH of less than 7
433,acidimetric,involving or related to acidimetry
434,acid-loving,thriving in a relatively acidic environment
435,acidophilic,especially of some bacteria; growing well in an acid medium
436,acidophilous,especially of some bacteria; growing well in an acid medium
437,acidotic,having or being characterized by acidosis
438,acid-tasting,having a sour acidic taste
439,acidulent,being sour to the taste
440,acidulous,being sour to the taste
441,aciduric,especially of some bacteria; growing well in an acid medium
442,acinar,pertaining to one of the small sacs (as in a compound gland)
443,acinic,pertaining to one of the small sacs (as in a compound gland)
444,acinose,pertaining to one of the small sacs (as in a compound gland)
445,acinous,pertaining to one of the small sacs (as in a compound gland)
446,acknowledgeable,capable of being acknowledged
447,acknowledged,recognized or made known or admitted
448,acned,(of complexion) blemished by imperfections of the skin
449,acneiform,resembling acne
450,acold,of persons; feeling cold
451,acorn-shaped,shaped like an acorn
452,a couple of,more than one but indefinitely small in number
453,acoustic,relating to the study of the physical properties of sound
454,acoustical,of or relating to the science of acoustics
455,acquainted,having fair knowledge of
456,acquiescent,willing to carry out the orders or wishes of another
457,acquirable,capable of being acquired
458,acquired,gotten through environmental forces
459,acquisitive,eager to attain and possess material possessions
460,acquitted,declared not guilty of a specific offense or crime
461,acrid,"strong and sharp, as a taste or smell"
462,acrimonious,marked by strong resentment or cynicism
463,acritical,without a crisis (as of some diseases)
464,acrobatic,involving athletic feats that require balance and agility
465,acrocarpous,(of mosses) having the archegonia at the top of the stem
466,acrocentric,having a subterminal centromere
467,acrogenic,pertaining to flowerless plants (ferns or mosses) in which growth occurs only at the tip of the main stem
468,acrogenous,pertaining to flowerless plants (ferns or mosses) in which growth occurs only at the tip of the main stem
469,acromegalic,marked or affected by enlargement or hypertrophy of the extremities or the face
470,acronymic,characterized by the use of acronyms
471,acronymous,characterized by the use of acronyms
472,acropetal,of leaves or flowers
473,acrophobic,suffering from acrophobia; abnormally afraid of high places
474,acroscopic,facing or on the side toward the apex
475,across-the-board,broad in scope or content
476,actable,capable of being acted; suitable for the stage
477,actinal,located on the surface or end on which the mouth is situated
478,acting,serving temporarily especially as a substitute
479,actinic,relating to or exhibiting actinism
480,actinoid,having a radial form
481,actinometric,of or related to actinometry
482,actinometrical,of or related to actinometry
483,actinomorphic,capable of division into symmetrical halves by any longitudinal plane passing through the axis
484,actinomorphous,capable of division into symmetrical halves by any longitudinal plane passing through the axis
485,actinomycetal,of or belonging to the actinomycetes
486,actinomycetous,of or belonging to the actinomycetes
487,actinomycotic,of or related to actinomycosis infection
488,actionable,affording grounds for legal action
489,activated,rendered active
490,activating,causing motion or action or change
491,active,characterized by energetic movement
492,activist,advocating direct and militant action to achieve a goal
493,activistic,advocating or engaged in activism
494,actual,existing in act or fact
495,actuarial,relating to statistics to calculate insurance premiums
496,actuated,moved to get something done
497,actuating,causing motion or action or change
498,acuate,ending in a sharp point
499,aculeate,having or resembling a stinger or barb
500,aculeated,having or resembling a stinger or barb
501,acuminate,(of a leaf shape) narrowing to a slender point
502,acute,ending in a sharp point
503,acyclic,not cyclic
504,adactylous,without fingers and/or toes
505,adagio,(of tempo) leisurely
506,adamant,insistent; unwilling to change one's mind or opinion
507,adamantine,consisting of or having the hardness of adamant
508,adaptable,capable of fitting a particular situation or use
509,adaptational,of or relating to adaptation
510,adaptative,having a capacity for adaptation
511,adapted,changed in order to improve or made more fit for a particular purpose
512,adaptive,having a capacity for change
513,adaxial,nearest to or facing toward the axis of an organ or organism
514,addable,capable of being added or added to
515,addible,capable of being added or added to
516,addicted,compulsively or physiologically dependent on something habit-forming
517,addictive,causing or characterized by addiction
518,additional,further or extra
519,additive,characterized or produced by addition
520,addlebrained,stupid and confused
521,addled,confused and vague; used especially of thinking
522,addlepated,stupid and confused
523,addressable,capable of being addressed
524,addressed,(of mail) marked with a destination
525,adducent,especially of muscles
526,adducting,especially of muscles
527,adductive,especially of muscles
528,adenocarcinomatous,of or pertaining to adenocarcinoma
529,adenoid,relating to or resembling lymphatic glands or lymphoid tissue
530,adenoidal,of or pertaining to the adenoids
531,adept,having or showing knowledge and skill and aptitude
532,adequate,having the requisite qualities or resources to meet a task
533,adequate to,having the requisite qualities for
534,adherent,sticking fast
535,adhesive,tending to stick to firmly
536,ad hoc,for or concerned with one specific purpose
537,ad hominem,appealing to personal considerations rather than to reason
538,adiabatic,occurring without loss or gain of heat
539,adient,characterized by acceptance or approach
540,adipose,composed of animal fat
541,adjacent,having a common boundary or edge
542,adjectival,of or relating to or functioning as an adjective
543,adjective,of or relating to the word class that qualifies nouns
